num_ranks,num_phases,epsilon,noise_model,mean_makespan,std_makespan,ci95_makespan,mean_idle_waste,std_idle_waste,mean_amplification,std_amplification,mean_idle_fraction,mean_scaling_efficiency
32,50,0.0100,NONE,55.001000,0.000000,0.000000,0.000000,0.000000,0.100020,0.000000,0.000000,0.909074
32,50,0.0100,GAUSSIAN,54.592867,0.043635,0.015614,6.754000,1.766059,0.091857,0.000873,0.003866,0.915871
32,50,0.0100,LOGNORMAL,54.597467,0.042622,0.015252,6.464333,1.507880,0.091949,0.000852,0.003700,0.915794
32,50,0.0100,BURSTY,55.564067,0.086424,0.030927,14.373333,2.580268,0.111281,0.001728,0.008082,0.899864
32,50,0.0500,NONE,55.001000,0.000000,0.000000,0.000000,0.000000,0.100020,0.000000,0.000000,0.909074
32,50,0.0500,GAUSSIAN,58.316467,0.355260,0.127128,166.521300,10.906681,0.166329,0.007105,0.089204,0.857422
32,50,0.0500,LOGNORMAL,58.546000,0.307077,0.109886,173.696967,8.981194,0.170920,0.006142,0.092693,0.854052
32,50,0.0500,BURSTY,64.681833,0.755174,0.270235,302.129533,22.813178,0.293637,0.015103,0.145865,0.773117
32,50,0.1000,NONE,55.001000,0.000000,0.000000,0.000000,0.000000,0.100020,0.000000,0.000000,0.909074
32,50,0.1000,GAUSSIAN,63.549200,0.436286,0.156123,331.362567,12.609038,0.270984,0.008726,0.162914,0.786828
32,50,0.1000,LOGNORMAL,64.483600,0.493449,0.176578,361.381000,14.211730,0.289672,0.009869,0.175093,0.775435
32,50,0.1000,BURSTY,76.171067,1.518725,0.543469,652.093500,44.756015,0.523421,0.030374,0.267279,0.656669
32,50,0.2000,NONE,55.001000,0.000000,0.000000,0.000000,0.000000,0.100020,0.000000,0.000000,0.909074
32,50,0.2000,GAUSSIAN,74.270667,0.719186,0.257358,673.064500,22.792489,0.485413,0.014384,0.283140,0.673274
32,50,0.2000,LOGNORMAL,78.101367,1.134615,0.406017,795.083533,33.896326,0.562027,0.022692,0.318009,0.640325
32,50,0.2000,BURSTY,97.566767,3.278523,1.173204,1308.310367,97.740504,0.951335,0.065570,0.418484,0.513031
32,100,0.0100,NONE,110.321000,0.000000,0.000000,0.000000,0.000000,0.103210,0.000000,0.000000,0.906446
32,100,0.0100,GAUSSIAN,109.079900,0.099211,0.035502,13.625333,4.260158,0.090799,0.000992,0.003903,0.916760
32,100,0.0100,LOGNORMAL,109.113333,0.064649,0.023134,14.021333,3.745433,0.091133,0.000646,0.004015,0.916479
32,100,0.0100,BURSTY,110.980267,0.125333,0.044850,27.954667,5.032361,0.109803,0.001253,0.007870,0.901062
32,100,0.0500,NONE,110.321000,0.000000,0.000000,0.000000,0.000000,0.103210,0.000000,0.000000,0.906446
32,100,0.0500,GAUSSIAN,116.687033,0.390658,0.139795,338.205467,12.339821,0.166870,0.003907,0.090566,0.857003
32,100,0.0500,LOGNORMAL,117.140033,0.375228,0.134274,352.945833,11.378777,0.171400,0.003752,0.094149,0.853688
32,100,0.0500,BURSTY,129.286267,1.132189,0.405149,603.217767,34.970002,0.292863,0.011322,0.145745,0.773535
32,100,0.1000,NONE,110.321000,0.000000,0.000000,0.000000,0.000000,0.103210,0.000000,0.000000,0.906446
32,100,0.1000,GAUSSIAN,127.203233,0.615005,0.220077,669.599000,18.984977,0.272032,0.006150,0.164483,0.786161
32,100,0.1000,LOGNORMAL,128.950500,0.496940,0.177828,726.256767,14.792296,0.289505,0.004969,0.175992,0.775503
32,100,0.1000,BURSTY,152.597400,2.217763,0.793616,1314.613767,68.200506,0.525974,0.022178,0.269076,0.655453
32,100,0.2000,NONE,110.321000,0.000000,0.000000,0.000000,0.000000,0.103210,0.000000,0.000000,0.906446
32,100,0.2000,GAUSSIAN,148.162733,1.004672,0.359517,1334.055767,29.311878,0.481627,0.010047,0.281349,0.674964
32,100,0.2000,LOGNORMAL,155.366333,1.566323,0.560502,1564.748367,45.698392,0.553663,0.015663,0.314673,0.643703
32,100,0.2000,BURSTY,196.599733,5.294197,1.894504,2663.195933,160.658140,0.965997,0.052942,0.422956,0.509003
32,500,0.0100,NONE,552.430000,0.000000,0.000000,0.000000,0.000000,0.104860,0.000000,0.000000,0.905092
32,500,0.0100,GAUSSIAN,545.089533,0.179109,0.064093,78.265000,8.540263,0.090179,0.000358,0.004487,0.917281
32,500,0.0100,LOGNORMAL,545.141900,0.133966,0.047939,77.465667,7.322984,0.090284,0.000268,0.004441,0.917192
32,500,0.0100,BURSTY,554.529333,0.290331,0.103893,159.998667,8.964865,0.109059,0.000581,0.009016,0.901666
32,500,0.0500,NONE,552.430000,0.000000,0.000000,0.000000,0.000000,0.104860,0.000000,0.000000,0.905092
32,500,0.0500,GAUSSIAN,583.287667,0.926190,0.331433,1700.842967,27.934470,0.166575,0.001852,0.091122,0.857212
32,500,0.0500,LOGNORMAL,585.331367,1.169827,0.418617,1767.920900,35.438016,0.170663,0.002340,0.094384,0.854220
32,500,0.0500,BURSTY,645.468433,2.823368,1.010329,3015.520833,84.866251,0.290937,0.005647,0.145980,0.774646
32,500,0.1000,NONE,552.430000,0.000000,0.000000,0.000000,0.000000,0.104860,0.000000,0.000000,0.905092
32,500,0.1000,GAUSSIAN,635.161333,1.159300,0.414850,3343.064133,37.467263,0.270323,0.002319,0.164477,0.787204
32,500,0.1000,LOGNORMAL,644.261433,1.434296,0.513256,3633.721267,48.089153,0.288523,0.002869,0.176250,0.776086
32,500,0.1000,BURSTY,761.038967,4.699689,1.681762,6539.159700,150.989427,0.522078,0.009399,0.268486,0.657021
32,500,0.2000,NONE,552.430000,0.000000,0.000000,0.000000,0.000000,0.104860,0.000000,0.000000,0.905092
32,500,0.2000,GAUSSIAN,739.569467,2.201086,0.787649,6667.544633,68.495660,0.479139,0.004402,0.281727,0.676075
32,500,0.2000,LOGNORMAL,776.045933,3.406916,1.219149,7834.563967,101.360263,0.552092,0.006814,0.315473,0.644304
32,500,0.2000,BURSTY,984.272667,11.243867,4.023566,13386.451500,338.325536,0.968545,0.022488,0.424946,0.508053
64,10,0.0100,NONE,11.001000,0.000000,0.000000,0.000000,0.000000,0.100100,0.000000,0.000000,0.909008
64,10,0.0100,GAUSSIAN,10.955600,0.018741,0.006706,0.146667,0.072698,0.095560,0.001874,0.000209,0.912778
64,10,0.0100,LOGNORMAL,10.956900,0.017935,0.006418,0.146667,0.066713,0.095690,0.001794,0.000209,0.912669
64,10,0.0100,BURSTY,11.211467,0.027992,0.010017,7.252667,1.776737,0.121147,0.002799,0.010102,0.891949
64,10,0.0500,NONE,11.001000,0.000000,0.000000,0.000000,0.000000,0.100100,0.000000,0.000000,0.909008
64,10,0.0500,GAUSSIAN,11.956267,0.102686,0.036746,81.816833,6.336494,0.195627,0.010269,0.106863,0.836441
64,10,0.0500,LOGNORMAL,12.026333,0.121827,0.043595,86.518833,7.708013,0.202633,0.012183,0.112323,0.831591
64,10,0.0500,BURSTY,13.595267,0.220722,0.078984,158.767900,13.568088,0.359527,0.022072,0.182285,0.735737
64,10,0.1000,NONE,11.001000,0.000000,0.000000,0.000000,0.000000,0.100100,0.000000,0.000000,0.909008
64,10,0.1000,GAUSSIAN,13.098667,0.174135,0.062313,154.506133,11.067740,0.309867,0.017414,0.184176,0.763566
64,10,0.1000,LOGNORMAL,13.361733,0.185807,0.066490,171.524700,11.287200,0.336173,0.018581,0.200446,0.748546
